id,name,jpName,title,homeTown,alignment,growthPatternId,rarity,img,visualPrompt
"a0000000-0000-0000-0000-000000000015","member_015","構成員_015","横浜の密輸人","yokohama","ORDER","BALANCED","SR","/member_015_transparent_asset.png","cunning port smuggler, navy jacket, cap"
"a0000000-0000-0000-0000-000000000016","member_016","構成員_016","新宿の回収屋","shinjuku","CHAOS","HP_TANK","SR","/member_016_transparent_asset.png","intimidating debt collector, heavy coat, chain"
"a0000000-0000-0000-0000-000000000017","member_017","構成員_017","渋谷のスケーター","shibuya","JUSTICE","ATTACKER","SR","/member_017_transparent_asset.png","young skateboarder male, trendy streetwear, cap"
"a0000000-0000-0000-0000-000000000018","member_018","構成員_018","池袋の用心棒","ikebukuro","EVIL","DEFENDER","SR","/member_018_transparent_asset.png","stoic male defender, padded vest, stern look"
"a0000000-0000-0000-0000-000000000019","member_019","構成員_019","六本木のDJ","roppongi","ORDER","SPEEDSTER","SR","/member_019_transparent_asset.png","stylish club DJ, glowing headset, bomber jacket"
"a0000000-0000-0000-0000-000000000020","member_020","構成員_020","秋葉原のジャンク屋","akihabara","CHAOS","LUCKY_STAR","SR","/member_020_transparent_asset.png","quirky parts vendor, apron, goggles"
"a0000000-0000-0000-0000-000000000021","member_021","構成員_021","SHINJUKUの構成員_021","shinjuku","JUSTICE","DEFENDER","R","/member_021_transparent_asset.png","underground street gang member 021, modern outlaw gear"
"a0000000-0000-0000-0000-000000000022","member_022","構成員_022","SHIBUYAの構成員_022","shibuya","CHAOS","SPEEDSTER","R","/member_022_transparent_asset.png","underground street gang member 022, modern outlaw gear"
"a0000000-0000-0000-0000-000000000023","member_023","構成員_023","IKEBUKUROの構成員_023","ikebukuro","EVIL","LUCKY_STAR","R","/member_023_transparent_asset.png","underground street gang member 023, modern outlaw gear"
"a0000000-0000-0000-0000-000000000024","member_024","構成員_024","ROPPONGIの構成員_024","roppongi","ORDER","BALANCED","R","/member_024_transparent_asset.png","underground street gang member 024, modern outlaw gear"
"a0000000-0000-0000-0000-000000000025","member_025","構成員_025","AKIHABARAの構成員_025","akihabara","JUSTICE","HP_TANK","R","/member_025_transparent_asset.png","underground street gang member 025, modern outlaw gear"
"a0000000-0000-0000-0000-000000000026","member_026","構成員_026","KAWASAKIの構成員_026","kawasaki","CHAOS","ATTACKER","R","/member_026_transparent_asset.png","underground street gang member 026, modern outlaw gear"
"a0000000-0000-0000-0000-000000000027","member_027","構成員_027","YOKOHAMAの構成員_027","yokohama","EVIL","DEFENDER","R","/member_027_transparent_asset.png","underground street gang member 027, modern outlaw gear"
"a0000000-0000-0000-0000-000000000028","member_028","構成員_028","SHINJUKUの構成員_028","shinjuku","ORDER","SPEEDSTER","R","/member_028_transparent_asset.png","underground street gang member 028, modern outlaw gear"
"a0000000-0000-0000-0000-000000000029","member_029","構成員_029","SHIBUYAの構成員_029","shibuya","JUSTICE","LUCKY_STAR","R","/member_029_transparent_asset.png","underground street gang member 029, modern outlaw gear"
"a0000000-0000-0000-0000-000000000030","member_030","構成員_030","IKEBUKUROの構成員_030","ikebukuro","CHAOS","BALANCED","R","/member_030_transparent_asset.png","underground street gang member 030, modern outlaw gear"
"a0000000-0000-0000-0000-000000000031","member_031","構成員_031","ROPPONGIの構成員_031","roppongi","EVIL","HP_TANK","R","/member_031_transparent_asset.png","underground street gang member 031, modern outlaw gear"
"a0000000-0000-0000-0000-000000000032","member_032","構成員_032","AKIHABARAの構成員_032","akihabara","ORDER","ATTACKER","R","/member_032_transparent_asset.png","underground street gang member 032, modern outlaw gear"
"a0000000-0000-0000-0000-000000000033","member_033","構成員_033","KAWASAKIの構成員_033","kawasaki","JUSTICE","DEFENDER","R","/member_033_transparent_asset.png","underground street gang member 033, modern outlaw gear"
"a0000000-0000-0000-0000-000000000034","member_034","構成員_034","YOKOHAMAの構成員_034","yokohama","CHAOS","SPEEDSTER","R","/member_034_transparent_asset.png","underground street gang member 034, modern outlaw gear"
"a0000000-0000-0000-0000-000000000035","member_035","構成員_035","SHINJUKUの構成員_035","shinjuku","EVIL","LUCKY_STAR","R","/member_035_transparent_asset.png","underground street gang member 035, modern outlaw gear"
"a0000000-0000-0000-0000-000000000036","member_036","構成員_036","SHIBUYAの構成員_036","shibuya","ORDER","BALANCED","R","/member_036_transparent_asset.png","underground street gang member 036, modern outlaw gear"
"a0000000-0000-0000-0000-000000000037","member_037","構成員_037","IKEBUKUROの構成員_037","ikebukuro","JUSTICE","HP_TANK","R","/member_037_transparent_asset.png","underground street gang member 037, modern outlaw gear"
"a0000000-0000-0000-0000-000000000038","member_038","構成員_038","ROPPONGIの構成員_038","roppongi","CHAOS","ATTACKER","R","/member_038_transparent_asset.png","underground street gang member 038, modern outlaw gear"
"a0000000-0000-0000-0000-000000000039","member_039","構成員_039","AKIHABARAの構成員_039","akihabara","EVIL","DEFENDER","R","/member_039_transparent_asset.png","underground street gang member 039, modern outlaw gear"
"a0000000-0000-0000-0000-000000000040","member_040","構成員_040","KAWASAKIの構成員_040","kawasaki","ORDER","SPEEDSTER","R","/member_040_transparent_asset.png","underground street gang member 040, modern outlaw gear"
"a0000000-0000-0000-0000-000000000041","member_041","構成員_041","YOKOHAMAの下っ端_041","yokohama","JUSTICE","LUCKY_STAR","N","/member_041_transparent_asset.png","underground grunt member 041, street military style"
"a0000000-0000-0000-0000-000000000042","member_042","構成員_042","SHINJUKUの下っ端_042","shinjuku","CHAOS","BALANCED","N","/member_042_transparent_asset.png","underground grunt member 042, street military style"
"a0000000-0000-0000-0000-000000000043","member_043","構成員_043","SHIBUYAの下っ端_043","shibuya","EVIL","HP_TANK","N","/member_043_transparent_asset.png","underground grunt member 043, street military style"
"a0000000-0000-0000-0000-000000000044","member_044","構成員_044","IKEBUKUROの下っ端_044","ikebukuro","ORDER","ATTACKER","N","/member_044_transparent_asset.png","underground grunt member 044, street military style"
"a0000000-0000-0000-0000-000000000045","member_045","構成員_045","ROPPONGIの下っ端_045","roppongi","JUSTICE","DEFENDER","N","/member_045_transparent_asset.png","underground grunt member 045, street military style"
"a0000000-0000-0000-0000-000000000046","member_046","構成員_046","AKIHABARAの下っ端_046","akihabara","CHAOS","SPEEDSTER","N","/member_046_transparent_asset.png","underground grunt member 046, street military style"
"a0000000-0000-0000-0000-000000000047","member_047","構成員_047","KAWASAKIの下っ端_047","kawasaki","EVIL","LUCKY_STAR","N","/member_047_transparent_asset.png","underground grunt member 047, street military style"
"a0000000-0000-0000-0000-000000000048","member_048","構成員_048","YOKOHAMAの下っ端_048","yokohama","ORDER","BALANCED","N","/member_048_transparent_asset.png","underground grunt member 048, street military style"
"a0000000-0000-0000-0000-000000000049","member_049","構成員_049","SHINJUKUの下っ端_049","shinjuku","JUSTICE","HP_TANK","N","/member_049_transparent_asset.png","underground grunt member 049, street military style"
"a0000000-0000-0000-0000-000000000050","member_050","構成員_050","SHIBUYAの下っ端_050","shibuya","CHAOS","ATTACKER","N","/member_050_transparent_asset.png","underground grunt member 050, street military style"
"a0000000-0000-0000-0000-000000000051","member_051","構成員_051","IKEBUKUROの下っ端_051","ikebukuro","EVIL","DEFENDER","N","/member_051_transparent_asset.png","underground grunt member 051, street military style"
"a0000000-0000-0000-0000-000000000052","member_052","構成員_052","ROPPONGIの下っ端_052","roppongi","ORDER","SPEEDSTER","N","/member_052_transparent_asset.png","underground grunt member 052, street military style"
"a0000000-0000-0000-0000-000000000053","member_053","構成員_053","AKIHABARAの下っ端_053","akihabara","JUSTICE","LUCKY_STAR","N","/member_053_transparent_asset.png","underground grunt member 053, street military style"
"a0000000-0000-0000-0000-000000000054","member_054","構成員_054","KAWASAKIの下っ端_054","kawasaki","CHAOS","BALANCED","N","/member_054_transparent_asset.png","underground grunt member 054, street military style"
"a0000000-0000-0000-0000-000000000055","member_055","構成員_055","YOKOHAMAの下っ端_055","yokohama","EVIL","HP_TANK","N","/member_055_transparent_asset.png","underground grunt member 055, street military style"
"a0000000-0000-0000-0000-000000000056","member_056","構成員_056","SHINJUKUの下っ端_056","shinjuku","ORDER","ATTACKER","N","/member_056_transparent_asset.png","underground grunt member 056, street military style"
"a0000000-0000-0000-0000-000000000057","member_057","構成員_057","SHIBUYAの下っ端_057","shibuya","JUSTICE","DEFENDER","N","/member_057_transparent_asset.png","underground grunt member 057, street military style"
"a0000000-0000-0000-0000-000000000058","member_058","構成員_058","IKEBUKUROの下っ端_058","ikebukuro","CHAOS","SPEEDSTER","N","/member_058_transparent_asset.png","underground grunt member 058, street military style"
"a0000000-0000-0000-0000-000000000059","member_059","構成員_059","ROPPONGIの下っ端_059","roppongi","EVIL","LUCKY_STAR","N","/member_059_transparent_asset.png","underground grunt member 059, street military style"
"a0000000-0000-0000-0000-000000000060","member_060","構成員_060","AKIHABARAの下っ端_060","akihabara","ORDER","BALANCED","N","/member_060_transparent_asset.png","underground grunt member 060, street military style"
