id,name,rarity,alignment,ap_cost,power,effect_type,is_exclusive,exclusive_character_id,description
SKILL_026,"ヴェノムブレード",SR,EVIL,2,60,ATTACK,FALSE,,"毒薬を塗布した仕込みナイフで敵の首元を無音で切り裂く。"
SKILL_027,"シナプスバースト",SR,CHAOS,3,180,ATTACK,FALSE,,"自傷覚悟でアドレナリンを多重注射し、脳のリミッターを外した一撃を放つ。"
SKILL_028,"ナノマシンストーム",SR,ORDER,3,90,HEAL,FALSE,,"簡易医療装置を作動させ、ナノマシンによる持続的な回復環境を作る。"
SKILL_029,"屍毒の霧",SR,EVIL,3,0,JAMMER,FALSE,,"神経を冒す紫色の有毒ガスを容器から解き放ち、敵チーム全体に吸わせる。"
SKILL_030,"フォースフィールド",SR,ORDER,3,0,DEFENSE,FALSE,,"頑丈なカーボン製防弾シールドを構えて身を呈し、弾道を遮断する。"
SKILL_031,"ハイパーアクセル",SR,CHAOS,3,0,SUPPORT,FALSE,,"激しいドラムのビートや大声の恫喝で全体の士気を引き上げ、行動順を前進させる。"
SKILL_032,"スタングレネード",SR,JUSTICE,3,80,ATTACK,FALSE,,"敵陣のド真ん中に音響閃光弾を投げ込み、爆音と閃光で五感を麻痺させる。"
SKILL_033,"アトミックキャノン",SR,ORDER,4,120,ATTACK,FALSE,,"アタッシュケースから取り出した改造ショットガンを水平掃射し、敵全体を壊滅させる。"
SKILL_034,"命の強奪",SR,EVIL,3,100,ATTACK,FALSE,,"相手の物資を奪い取って肉体的・精神的な気力を補給する。"
SKILL_035,"ホログラムデコイ",SSR,CHAOS,2,0,SUPPORT,FALSE,,"煙幕やフェイントのステップワークにより、敵の照準を狂わせる。"
SKILL_036,"結束の力",SSR,JUSTICE,3,0,SUPPORT,FALSE,,"強い結束と裏社会での生存本能を刺激し、攻撃力を極限まで高める。"
SKILL_037,"終極の赫き弾丸",SSR,JUSTICE,4,350,ATTACK,TRUE,11111111-1111-1111-1111-111111111111,"【レイジ専用】懐から抜き放った特製タクティカルナイフで限界まで加速した突きを放つ。"
SKILL_038,"専用スキルB",SSR,ORDER,4,200,ATTACK,TRUE,,"【専用保留B・後日確定】敵全体の防壁や強化能力を強引に解除して大ダメージを与える。"
SKILL_039,"専用スキルC",SSR,CHAOS,4,0,SUPPORT,TRUE,,"【専用保留C・後日確定】チーム全体の行動タイムラインを強制前進させ攻撃力を倍化する。"
SKILL_040,"専用スキルD",SSR,EVIL,4,250,ATTACK,TRUE,,"【専用保留D・後日確定】窮地にある敵の急所を的確に射止め、確実に葬り去る。"
SKILL_041,"クイックサーチ",N,ORDER,1,0,SUPPORT,FALSE,,"デッキからランダムに属性「ORDER」のカードを1枚手札に加える。"
SKILL_042,"連動する一撃",N,JUSTICE,1,45,ATTACK,FALSE,,"敵単体にATKダメージ。このターン中に他のJUSTICEカードが使用されていた場合、ダメージ2倍。"
SKILL_043,"傷口を抉る",N,EVIL,1,50,ATTACK,FALSE,,"敵単体にATKダメージ。敵が出血状態の場合、ダメージ+40%。"
SKILL_044,"サイクルオフ",N,CHAOS,1,0,SUPPORT,FALSE,,"手札を1枚選択して破棄し、山札から2枚ドローする。"
SKILL_045,"プレパレーション",N,ORDER,1,0,SUPPORT,FALSE,,"自身のAPを1増加させる。このカードは使用してもターンを消費しない。"
SKILL_046,"窮地の延命",N,CHAOS,1,40,HEAL,FALSE,,"味方単体のHPを回復。手札が3枚以下の場合、回復効果+50%。"
SKILL_047,"連鎖する防壁",N,ORDER,1,35,DEFENSE,FALSE,,"味方単体にDEFシールド。このターン中に他のORDERカードが使用されていた場合、シールド効果+100%。"
SKILL_048,"挑発の引き金",N,CHAOS,1,0,SUPPORT,FALSE,,"自身にターゲット集中 ＆ 自身の防御力の50%分カード使用キャラのAPを回復。"
SKILL_049,"毒素の伝播",N,EVIL,1,0,JAMMER,FALSE,,"敵単体に毒を付与。対象がすでに毒状態の場合、隣接する敵にも毒を感染させる。"
SKILL_050,"連撃 of 初動",N,JUSTICE,1,0,SUPPORT,FALSE,,"このターン中に使用する次の攻撃カードのAP消費を1軽減する（最低1）。"
SKILL_051,"ドロースマッシュ",R,JUSTICE,2,70,ATTACK,FALSE,,"敵単体にATKダメージ ＆ カードを1枚ドロー。"
SKILL_052,"阿吽の呼吸",R,ORDER,2,0,SUPPORT,FALSE,,"手札の全ての属性を、使用したキャラクターの属性にこのターン中変換する。"
SKILL_053,"連携の手当て",R,JUSTICE,2,80,HEAL,FALSE,,"味方単体のHPを回復。直前にプレイされたカードが「HEAL」の場合、効果量+50%およびデバフ全解除。"
SKILL_054,"捨身の切り札",R,EVIL,2,130,ATTACK,FALSE,,"手札のランダムな1枚を強制破棄し、敵単体に強烈なATKダメージ。"
SKILL_055,"攻守の算段",R,ORDER,2,0,SUPPORT,FALSE,,"デッキから「ATK」カードと「DEF」カードをそれぞれ1枚ずつ手札に加える。"
SKILL_056,"APアクセラレータ",R,CHAOS,2,0,SUPPORT,FALSE,,"次の味方の行動ターン時、初期AP+2。"
SKILL_057,"死線の連動",R,ORDER,2,0,SUPPORT,FALSE,,"手札の「ATK」カードすべての攻撃力を+20%する (この戦闘中有効、重複可能)。"
SKILL_058,"劇毒の刺激",R,EVIL,2,80,ATTACK,FALSE,,"敵単体にATKダメージ。対象が毒状態の場合、毒の効果を即座に発動させ、残りの毒ダメージを即座に与える。"
SKILL_059,"応急物資の確保",R,JUSTICE,2,30,HEAL,FALSE,,"デッキから「HEAL」カードを1枚手札に加え、自身のHPを30回復。"
SKILL_060,"タクティカル・ドロー",R,ORDER,1,0,SUPPORT,FALSE,,"カードを3枚引き、手札の中から1枚を選択して山札の一番上に戻す。"
SKILL_061,"集約の終撃",SR,JUSTICE,3,150,ATTACK,FALSE,,"敵単体にATKダメージ。このターン中に使用された属性の数が「3種類以上」の場合、ダメージ2.5倍。"
SKILL_062,"選択肢の刃",SR,CHAOS,3,120,ATTACK,FALSE,,"敵単体にATKダメージ。自身の現在の「手札の枚数」×20の追加ダメージ。"
SKILL_063,"リミッター解除",SR,CHAOS,3,0,SUPPORT,FALSE,,"このターン中、すべての手札の消費APが1になる。使用後、自身は1ターンの間「麻痺」状態になる。"
SKILL_064,"サーチ・アンド・デストロイ",SR,ORDER,3,140,ATTACK,FALSE,,"敵単体に必中ATKダメージ。デッキから攻撃力の最も高い「ATK」カードを1枚手札に加える。"
SKILL_065,"絶対的規律",SR,ORDER,3,0,SUPPORT,FALSE,,"味方全体の属性を「ORDER」にし、味方全体のDEF+30% (3ターン)。"
SKILL_066,"ディスカード・ストーム",SR,EVIL,3,250,ATTACK,FALSE,,"手札を全て破棄し、敵全体に破棄した枚数×50のATKダメージを与える。"
SKILL_067,"ネオンの恩恵",SSR,JUSTICE,0,0,SUPPORT,FALSE,,"カードを3枚ドローする。このカードは使用してもターンを消費しない。"
SKILL_068,"専用スキルE",SSR,EVIL,4,250,ATTACK,TRUE,,"【専用保留E・後日確定】コンボ効果と連動した、特定キャラ用の強力な専用攻撃スキル。"
SKILL_069,"専用スキルF",SSR,ORDER,4,250,ATTACK,TRUE,,"【専用保留F・後日確定】属性の一致と連動した、特定キャラ用の強力な専用攻撃スキル。"
SKILL_070,"専用スキルG",SSR,CHAOS,4,0,SUPPORT,TRUE,,"【専用保留G・後日確定】AP操作と連動した、特定キャラ用の強力な専用支援スキル。"
SKILL_071,"毒気の浄化",N,JUSTICE,1,30,HEAL,FALSE,,"味方単体のデバフを2個解除する。解除に成功した場合、対象のHPを30回復。"
SKILL_072,"バリアコーティング",N,ORDER,1,0,DEFENSE,FALSE,,"味方単体に「次のデバフを1回だけ完全に無効化する」バリアを付与 (2ターン)。"
SKILL_073,"強化剥ぎの刃",N,EVIL,1,40,ATTACK,FALSE,,"敵単体にATKダメージ。対象の攻撃力バフを1つ解除する。"
SKILL_074,"サイレンスバレット",N,ORDER,1,0,JAMMER,FALSE,,"敵単体に「沈黙（バフ・サポートカード使用不可）」を付与 (1ターン)。"
SKILL_075,"目潰しの煙幕",N,CHAOS,1,0,JAMMER,FALSE,,"敵単体に「暗闇（攻撃の命中率が50%低下）」を付与 (1ターン)。"
SKILL_076,"マインドクレンズ",N,JUSTICE,1,0,SUPPORT,FALSE,,"自身の「混乱・挑発」状態を解除し、DEF+15 (2ターン)。"
SKILL_077,"金剛の防壁",N,ORDER,1,50,DEFENSE,FALSE,,"自身にDEFシールド。このターン中、自身へのクリティカル攻撃を無効化する。"
SKILL_078,"リフレクト・コート",N,CHAOS,1,30,DEFENSE,FALSE,,"自身にDEFシールド。このターン中、自身が受けたダメージの20%を攻撃者に反射する。"
SKILL_079,"脳天砕き",N,EVIL,1,30,ATTACK,FALSE,,"敵単体にATKダメージ。敵がシールドを持っていない場合、10%の確率でスタン付与。"
SKILL_080,"窮地の救心薬",N,JUSTICE,1,35,HEAL,FALSE,,"味方単体のHPを回復。対象のHPが30%以下の場合、回復量が3倍になる。"
SKILL_081,"広域クレンズシグナル",R,ORDER,2,0,SUPPORT,FALSE,,"味方全体のデバフを1個ずつ解除し、味方全体のDEF+15% (2ターン)。"
SKILL_082,"戦術データの略奪",R,EVIL,2,0,JAMMER,FALSE,,"敵単体のバフを1つランダムに解除し、そのバフ効果を自身に付与する。"
SKILL_083,"ジャミングノイズ",R,EVIL,2,0,JAMMER,FALSE,,"敵全体のサポートカード（SUP）の使用を2ターンの間防ぐ。"
SKILL_084,"受け流しの極意",R,CHAOS,2,40,DEFENSE,FALSE,,"味方単体に「受けるダメージの40%を敵単体に反射する」バリアを付与 (2ターン)。"
SKILL_085,"不屈の執念",R,JUSTICE,2,0,SUPPORT,FALSE,,"自身に「HPが0になるダメージを受けたとき、1回だけHP1で踏みとどまる（食いしばり）」状態を付与 (2ターン)。"
SKILL_086,"絶対的遮断",R,ORDER,2,80,DEFENSE,FALSE,,"味方単体に、受ける最初の単体攻撃のダメージを「0」にする完全防壁を付与 (1ターン)。"
SKILL_087,"血清の強制投与",R,EVIL,2,100,HEAL,FALSE,,"味方単体の「毒・麻痺」を解除し、解除した状態異常1つにつきHPを100回復。"
SKILL_088,"足留めの牽制弾",R,ORDER,2,60,JAMMER,FALSE,,"敵単体にATKダメージ。対象の行動タイムライン（行動ゲージ）を25%後退させる。"
SKILL_089,"血吸いの刃",R,EVIL,2,70,ATTACK,FALSE,,"敵単体にATKダメージ。与えたダメージの30%を、HPの最も低い味方に分け与えて回復する。"
SKILL_090,"凍てつく警棒",R,ORDER,2,0,JAMMER,FALSE,,"敵単体に「凍結（行動速度が30%低下、被ダメージが15%上昇）」を付与 (2ターン)。"
SKILL_091,"ブラックアウト",SR,EVIL,3,0,JAMMER,FALSE,,"敵全体に「暗闇」および「沈黙」を付与 (1ターン)。"
SKILL_092,"防潮の共同防線",SR,ORDER,3,100,DEFENSE,FALSE,,"味方全体に「被ダメージの30%を攻撃者に反射する」強固なDEFシールドを付与 (2ターン)。"
SKILL_093,"メディカルヘブン",SR,JUSTICE,3,150,HEAL,FALSE,,"味方全体のHPを150回復し、味方全体のデバフを全て解除する。"
SKILL_094,"ハッキング強奪",SR,EVIL,3,0,JAMMER,FALSE,,"敵全体のバフ効果をそれぞれ1つずつ強制解除し、味方全体にランダムで付与する。"
SKILL_095,"イミュニティ・シールド",SR,ORDER,3,80,DEFENSE,FALSE,,"味方全体に、すべての弱体効果（デバフ）を無効化するシールドを付与する（2ターン）。"
SKILL_096,"結束の力・改",SR,JUSTICE,3,0,SUPPORT,FALSE,,"味方全体のATKとDEFを+20%上昇させる（3ターン）。"
SKILL_097,"結束の力・極",SSR,JUSTICE,4,100,SUPPORT,FALSE,,"味方全体のHPを100回復し、ATKとDEFを+30%上昇させる（3ターン）。"
SKILL_098,"専用スキルH",SSR,ORDER,4,0,SUPPORT,TRUE,,"【専用保留H・後日確定】防御/保護効果と連動した、特定キャラ用の強力な専用支援スキル。"
SKILL_099,"専用スキルI",SSR,CHAOS,4,0,JAMMER,TRUE,,"【専用保留I・後日確定】状態異常コントロールと連動した、特定キャラ用の強力な専用妨害スキル。"
SKILL_100,"専用スキルJ",SSR,CHAOS,4,250,ATTACK,TRUE,,"【専用保留J・後日確定】変則的な手番や攻撃アクションと連動した、特定キャラ用の専用攻撃スキル。"
